Designator,Mid X,Mid Y,Layer,Rotation,,Mid X,Mid Y
C1,24.14mm,27.63mm,top,90,,24.14,27.63
C2,24.14mm,40.33mm,top,90,,24.14,40.33
C3,8.89mm,8.89mm,top,90,,8.89,8.89
C4,17.78mm,19.95mm,top,0,,17.78,19.95
C5,24.14mm,22.55mm,top,90,,24.14,22.55
C6,24.14mm,35.25mm,top,90,,24.14,35.25
C7,87.32mm,15.24mm,top,270,,87.32,15.24
C8,87.32mm,5.07mm,top,270,,87.32,5.07
C9,17.79mm,22.86mm,top,0,,17.79,22.86
C10,17.79mm,21.28mm,top,0,,17.79,21.28
C11,11.43mm,22.86mm,top,0,,11.43,22.86
C12,11.44mm,21.28mm,top,0,,11.44,21.28
C13,73.35mm,15.24mm,top,90,,73.35,15.24
C14,73.35mm,6.34mm,top,90,,73.35,6.34
C15,5.09mm,22.86mm,top,180,,5.09,22.86
C16,5.09mm,21.28mm,top,180,,5.09,21.28
C17,95.26mm,68.27mm,top,270,,95.26,68.27
C18,124.47mm,69.06mm,top,90,,124.47,69.06
C19,124.46mm,43.815mm,top,180,,124.46,43.815
C20,147.32mm,22.86mm,top,90,,147.32,22.86
C21,110.49mm,6.35mm,top,180,,110.49,6.35
C22,97.79mm,46.99mm,top,0,,97.79,46.99
C23,96.52mm,21.59mm,top,180,,96.52,21.59
C24,96.52mm,24.13mm,top,0,,96.52,24.13
C25,102.87mm,21.59mm,top,180,,102.87,21.59
C26,102.87mm,24.13mm,top,0,,102.87,24.13
C27,149.86mm,44.45mm,top,270,,149.86,44.45
C28,121.92mm,16.2mm,top,270,,121.92,16.2
C29,119.38mm,16.2mm,top,270,,119.38,16.2
C30,116.84mm,16.2mm,top,270,,116.84,16.2
C31,153.035mm,16.51mm,top,270,,153.035,16.51
C32,150.495mm,16.51mm,top,270,,150.495,16.51
C33,147.955mm,16.51mm,top,270,,147.955,16.51
C34,72.83mm,56.41mm,top,90,,72.83,56.41
C35,59.69mm,40.005mm,top,0,,59.69,40.005
C36,80.645mm,56.515mm,top,90,,80.645,56.515
C37,78.74mm,55.88mm,top,90,,78.74,55.88
C38,63.51mm,47.95mm,top,90,,63.51,47.95
C39,74.94mm,36.52mm,top,180,,74.94,36.52
C40,80.02mm,36.52mm,top,180,,80.02,36.52
D1,26.67mm,16.51mm,top,180,,26.67,16.51
D2,17.78mm,38.1mm,top,270,,17.78,38.1
D3,161.29mm,68.11mm,top,180,,161.29,68.11
D4,50mm,55.88mm,top,90,,50,55.88
D5,102.87mm,52.07mm,top,90,,102.87,52.07
D6,35.25mm,44.0825mm,top,90,,35.25,44.0825
D7,39.06mm,44.0825mm,top,90,,39.06,44.0825
D8,83.83mm,46.165mm,top,0,,83.83,46.165
J16,3mm,48.26mm,top,270,,3,48.26
R1,87.32mm,19.05mm,top,90,,87.32,19.05
R2,15.24mm,38.1mm,top,270,,15.24,38.1
R3,87.32mm,8.88mm,top,90,,87.32,8.88
R4,81.28mm,12.7mm,top,180,,81.28,12.7
R5,82.55mm,3.11mm,top,180,,82.55,3.11
R6,75.89mm,17.02mm,top,270,,75.89,17.02
R7,75.89mm,7.61mm,top,270,,75.89,7.61
R8,75.89mm,14.61mm,top,270,,75.89,14.61
R9,75.89mm,5.07mm,top,270,,75.89,5.07
R10,115.58mm,69.54mm,top,90,,115.58,69.54
R11,96.53mm,68.27mm,top,270,,96.53,68.27
R12,143.51mm,68.58mm,top,0,,143.51,68.58
R13,130.81mm,17.78mm,top,90,,130.81,17.78
R14,139.7mm,68.58mm,top,180,,139.7,68.58
R15,132.08mm,68.58mm,top,0,,132.08,68.58
R16,111.76mm,8.89mm,top,180,,111.76,8.89
R17,153.67mm,87.63mm,top,90,,153.67,87.63
R18,156.21mm,87.63mm,top,90,,156.21,87.63
R19,154.94mm,68.11mm,top,0,,154.94,68.11
R20,154.94mm,87.63mm,top,270,,154.94,87.63
R21,163.83mm,71.12mm,top,270,,163.83,71.12
R22,154.94mm,58.84mm,top,0,,154.94,58.84
R23,54.61mm,71.12mm,top,180,,54.61,71.12
R24,46.6mm,55.57mm,top,90,,46.6,55.57
R25,105.41mm,52.07mm,top,90,,105.41,52.07
R26,78.74mm,26.67mm,top,90,,78.74,26.67
R27,46.68mm,44.0825mm,top,90,,46.68,44.0825
R28,42.87mm,44.0825mm,top,90,,42.87,44.0825
R29,64.78mm,42.455mm,top,180,,64.78,42.455
R30,64.78mm,45.055mm,top,180,,64.78,45.055
R31,66.04mm,27.94mm,top,270,,66.04,27.94
R32,83.83mm,49.62mm,top,0,,83.83,49.62
SW2,158.75mm,54.61mm,top,180,,158.75,54.61
SW4,158.75mm,63.5mm,top,180,,158.75,63.5
SW5,85.1mm,25.09mm,top,0,,85.1,25.09
SW6,72.4mm,25.09mm,top,180,,72.4,25.09
U1,134.63mm,31.44mm,top,270,,134.63,31.44
U2,72.4mm,49.22mm,top,90,,72.4,49.22
U3,55.89mm,46.68mm,top,180,,55.89,46.68
U4,19.06mm,14.93mm,top,90,,19.06,14.93
U7,81.54mm,16.5mm,top,180,,81.54,16.5
U8,81.54mm,6.86mm,top,180,,81.54,6.86
U9,11.44mm,14.93mm,top,90,,11.44,14.93
U10,3.82mm,14.93mm,top,90,,3.82,14.93
U11,100.5mm,69.61mm,top,180,,100.5,69.61
U12,120.5mm,69.61mm,top,180,,120.5,69.61
U13,149.86mm,63.5mm,top,270,,149.86,63.5
U14,100.34mm,41.6mm,top,90,,100.34,41.6
U15,96.52mm,26.67mm,top,90,,96.52,26.67
U16,102.87mm,26.67mm,top,90,,102.87,26.67
U17,57.15mm,63.5mm,top,90,,57.15,63.5
X1,135.255mm,60.96mm,top,0,,135.255,60.96
